,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,6287735.00993932,849758.77282575,28507.470532489468,406845.11058875197,1500.0
1,0.0,6283439.387307227,846028.0980894936,28267.416666237077,405180.87907827814,1192.271250867509
2,0.0,6282265.899395293,842430.3248689058,28112.362319028893,403519.88432046515,846.43036583756
3,0.0,6280114.471570989,838853.3767055194,27992.84985186106,401939.42889696057,793.2857860928577
4,0.0,6278254.04808998,835569.5951226834,27764.649547428093,400297.2725794705,1268.5783696688325
5,0.0,6275398.551103106,832012.758402811,27604.031228414184,398655.1599561185,1360.8673389231635
6,0.0,6273911.72268796,828225.4370901553,27382.956888149107,396977.83902658126,1569.4969346565508
7,0.0,6272294.342780973,824996.5875787559,27201.499650722584,395273.2644193994,1509.1246013378577
8,0.0,6270656.53949975,821708.1603239058,27113.470277588433,393936.973924946,1273.492554590355
9,0.0,6268427.574581145,818391.4984737701,26995.758782243796,392297.2282911149,1146.7703543117946
10,0.0,6265708.862981743,814985.768156537,26828.15420610738,390705.48093518487,1200.0
11,0.0,6262822.911546425,811643.9490489821,26710.357462060034,389007.7483840569,1462.8550669302952
12,0.0,6258622.5418356685,808327.7395530381,26583.01861839666,387517.67847791954,1470.4953542254173
13,0.0,6253360.745316523,804914.5924698521,26415.951883351343,385946.5879797039,1531.6250895496426
14,0.0,6247717.517795168,801658.649342125,26256.18925926689,384564.15896016755,1468.6946599281828
15,0.0,6240395.321067516,798002.5343160894,26131.83507432721,383044.4519404697,1342.5618004779085
16,0.0,6231880.402772164,794493.9915628252,26056.419708509315,381492.63044396375,1618.5976206827236
17,0.0,6223049.214504174,791002.5917947975,25881.790881678506,379885.59519672435,1000.9728372268473
18,0.0,6214035.078275356,787616.9640164329,25812.236585689,378306.35862161004,1036.0917936462752
19,0.0,6203092.658370146,784340.2958072892,25669.607461067615,376847.96433970914,1386.1165127915492
20,0.0,6191964.363292386,780931.5747565717,25560.556715370454,375424.771955336,1050.5392517783773
21,0.0,6178530.476406437,777630.876114805,25483.756534938108,373935.53084437025,538.6429902058779
22,0.0,6163688.655560416,773942.9102766122,25359.69045538545,372313.4191495494,600.0
23,0.0,6148054.777826213,770484.4277349019,25137.44286197304,370593.4399245068,1011.8105592040138
24,0.0,6132697.196864901,767148.1089522393,24999.629715524494,368959.06655207515,900.0
25,0.0,6115473.217216638,763692.3891919857,24883.43643710676,367454.75937775854,544.8716450387575
26,0.0,6098201.447849244,760360.8848468343,24812.985418569013,366111.6195725066,300.0
27,0.0,6080567.216155524,757141.4812925919,24666.745865247078,364690.2533806407,450.0
28,0.0,6061139.162996204,753715.6940650297,24609.077556402033,363079.4789314214,750.0
29,0.0,6041721.299771669,750443.249814122,24492.78962696772,361427.9605821246,750.0
30,0.0,6023176.14219538,747299.6643667407,24390.21920524231,359935.00777954544,676.4837213484601
31,0.0,6002952.837090888,743771.747471499,24235.38564642728,358666.2474901686,450.0
32,0.0,5983141.458926124,740316.9622587399,24128.08125962188,357277.5945972573,900.0
33,0.0,5961927.665191835,737015.5393785415,23957.42491488767,355976.00848663074,1500.0
34,0.0,5941401.975951911,733576.3881423051,23836.99207232492,354740.0189458958,1859.5945575484054
35,0.0,5920102.945997694,730413.9664492895,23720.643397544613,353481.1333673958,1931.9271340439368
36,0.0,5897852.209227008,727084.2513068765,23587.54184882609,352147.9935565231,1967.8264952081138
37,0.0,5876106.39495288,723608.8931011292,23409.023662507432,350518.9774733685,2100.0
