1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
116.0,559.0,2551.0,1986.0,254.0,1910.0,1394.0,2758.0,3691.0,2600.0,789.0,3742.0,2728.0,815.0,386.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,602.0,2724.0,2073.0,268.0,2057.0,1547.0,2957.0,3930.0,2792.0,824.0,3967.0,2845.0,868.0,418.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,628.0,2820.0,2126.0,276.0,2154.0,1697.0,3121.0,4100.0,2970.0,855.0,4061.0,2879.0,900.0,437.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,635.0,2851.0,2151.0,284.0,2254.0,1847.0,3287.0,4274.0,3164.0,869.0,4124.0,2910.0,934.0,460.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,630.0,2857.0,2151.0,283.0,2366.0,1972.0,3483.0,4500.0,3363.0,868.0,4134.0,2925.0,965.0,488.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,625.0,2820.0,2132.0,284.0,2442.0,2006.0,3627.0,4677.0,3486.0,843.0,4079.0,2901.0,993.0,516.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,606.0,2762.0,2098.0,284.0,2465.0,1967.0,3671.0,4750.0,3523.0,831.0,3978.0,2846.0,1010.0,531.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,589.0,2682.0,2054.0,278.0,2406.0,1911.0,3557.0,4624.0,3450.0,807.0,3871.0,2779.0,984.0,530.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,579.0,2677.0,2044.0,274.0,2314.0,1855.0,3400.0,4423.0,3323.0,815.0,3881.0,2791.0,960.0,515.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,618.0,2809.0,2127.0,286.0,2325.0,1815.0,3387.0,4411.0,3284.0,870.0,4058.0,2886.0,961.0,507.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,639.0,2875.0,2154.0,291.0,2319.0,1745.0,3343.0,4410.0,3241.0,894.0,4155.0,2909.0,952.0,507.0,631.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,641.0,2879.0,2167.0,296.0,2291.0,1690.0,3262.0,4333.0,3107.0,882.0,4148.0,2905.0,931.0,487.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,616.0,2798.0,2122.0,292.0,2187.0,1588.0,3107.0,4138.0,2923.0,863.0,4067.0,2879.0,892.0,456.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,555.0,2601.0,2030.0,282.0,2009.0,1439.0,2883.0,3828.0,2678.0,817.0,3837.0,2780.0,837.0,413.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,483.0,2335.0,1899.0,248.0,1793.0,1251.0,2584.0,3422.0,2393.0,739.0,3511.0,2636.0,765.0,367.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0
