Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Geothermal,Low,141,140,139,138,137,136,135,134,133,132,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
Geothermal,Mid,141,140,139,138,138,137,136,135,134,133,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
Geothermal,High,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
Geothermal EGS,Low,208,196,184,173,161,149,138,126,114,103,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Geothermal EGS,Mid,208,203,199,194,190,186,181,177,172,168,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
Geothermal EGS,High,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
Hydropower,Low,119,119,119,119,119,119,119,119,119,119,113,113,113,113,113,113,113,113,113,113,103,103,103,103,103,103,103,103,103,103,103
Hydropower,Mid,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,114,114,114,114,114,114,114,114,114,114,114
Hydropower,High,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
Net-zero CH4,Low,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Net-zero CH4,Mid,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Net-zero CH4,High,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Biomethane,Low,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Biomethane,Mid,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Biomethane,High,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Long-duration storage,Low,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Long-duration storage,Mid,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Long-duration storage,High,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Underground gas storage,Low,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Underground gas storage,Mid,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Underground gas storage,High,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
GasFiredWH,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWH,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasRange_Res,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Res,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasRange_Comm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Comm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFiredWHComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWHComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi-day storage,Low,40,40,45,32,30,29,28,26,25,24,23,22,22,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,15,15,15
Multi-day storage,Mid,40,40,45,43,41,36,35,34,32,31,30,30,29,29,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,21,21
Multi-day storage,High,40,40,45,46,47,46,44,42,41,39,37,37,37,37,36,36,36,36,35,35,35,35,34,34,34,33,33,33,33,32,32
Pumped hydro storage,Low,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Pumped hydro storage,Mid,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Pumped hydro storage,High,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
GasFiredWH,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWH,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeat,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeat,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasRange_Res,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Res,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasRange_Comm,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Comm,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeatComm,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeatComm,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFiredWHComm,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWHComm,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFiredWH,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
