x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.00013466313184191367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688,0.0002927459387867688
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.00010431438165986256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468,0.00022677039491274468
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,7.400746907385159e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998,0.00016088580233445998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,5.175006020260174e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117,0.00011250013087522117
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,3.6952103796375054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05,8.033066042690229e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,3.429034686170365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05,7.454423230805141e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,4.782886368051676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903,0.00010397579060981903
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,8.354380795593945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966,0.00018161697381725966
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.00014220292650415263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579,0.0003091367967481579
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.00018421185786602454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423,0.00040046056057831423
