Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hydrogen heat,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen heat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen heat,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underground gas storage,Low,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Underground gas storage,Mid,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Underground gas storage,High,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LNG peak shaving,Low,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LNG peak shaving,Mid,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LNG peak shaving,High,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Electric boiler,Low,10,10,10,9.9,9.9,9.8,9.8,9.8,9.7,9.7,9.7,9.6,9.6,9.6,9.5,9.5,9.5,9.4,9.4,9.4,9.3,9.3,9.3,9.2,9.2,9.2,9.1,9.1,9.1,9.0,9.0
Electric boiler,Mid,10,10,10,9.9,9.9,9.8,9.8,9.8,9.7,9.7,9.7,9.6,9.6,9.6,9.5,9.5,9.5,9.4,9.4,9.4,9.3,9.3,9.3,9.2,9.2,9.2,9.1,9.1,9.1,9.0,9.0
Electric boiler,High,10,10,10,9.9,9.9,9.8,9.8,9.8,9.7,9.7,9.7,9.6,9.6,9.6,9.5,9.5,9.5,9.4,9.4,9.4,9.3,9.3,9.3,9.2,9.2,9.2,9.1,9.1,9.1,9.0,9.0
Li-ion battery,Low,40,40,45,32,30,29,28,26,25,24,23,22,22,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,15,15,15
Li-ion battery,Mid,40,40,45,43,41,36,35,34,32,31,30,30,29,29,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,21,21
Li-ion battery,High,40,40,45,46,47,46,44,42,41,39,37,37,37,37,36,36,36,36,35,35,35,35,34,34,34,33,33,33,33,32,32
Long-duration storage,Low,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Long-duration storage,Mid,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Long-duration storage,High,84,81,78,76,73,70,67,64,61,58,56,55,55,55,54,54,54,53,53,53,52,52,52,51,51,51,51,50,50,50,49
Multi-day storage,Low,40,40,45,32,30,29,28,26,25,24,23,22,22,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,15,15,15
Multi-day storage,Mid,40,40,45,43,41,36,35,34,32,31,30,30,29,29,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,21,21
Multi-day storage,High,40,40,45,46,47,46,44,42,41,39,37,37,37,37,36,36,36,36,35,35,35,35,34,34,34,33,33,33,33,32,32
Pumped hydro storage,Low,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Pumped hydro storage,Mid,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Pumped hydro storage,High,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Electrolysis,Low,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Electrolysis,Mid,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Electrolysis,High,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Net-zero CH4,Low,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Net-zero CH4,Mid,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Net-zero CH4,High,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Biomethane,Low,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Biomethane,Mid,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Biomethane,High,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
hot_water_natural_gas,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_natural_gas,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_natural_gas,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_electricity,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_electricity,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_electricity,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac_natural_gas,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac_natural_gas,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac_natural_gas,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac_heat_pump,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac_heat_pump,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac_heat_pump,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range_oven_natural_gas,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range_oven_natural_gas,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range_oven_natural_gas,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range_oven_electricity,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range_oven_electricity,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range_oven_electricity,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_com_natural_gas,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_com_natural_gas,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_com_natural_gas,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_com_electricity,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_com_electricity,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot_water_com_electricity,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating_com_natural_gas,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating_com_natural_gas,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating_com_natural_gas,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating_com_electricity,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating_com_electricity,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating_com_electricity,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
