NodeELEC,NodeGAS,GenID,PrimeMover,Fuel,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,isRenewable,HeatRate,isNGFueled,EmissionsFactor,StartupCost,EconomicLifetime,Lifetime,StartupFuel,InstallYear,ForcedRetirement
25013,25013,HD004,Hydro,Hydro,0.98,100,0,500,0,1,1,1,1,1,1,0,0,0,0,100,100,0,0,0
25013,25013,WD004,Onshore wind,Wind,0.05,100,4,4,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
25013,25013,SL004,Solar,Solar,3.27,50,10,245,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34011,34011,CS005,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34011,34011,CC005,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34011,34011,CT005,Natural gas CT,Natural gas,5.69,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
34011,34011,GT005,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34011,34011,BP005,Biopower,Biomass,0.05,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
34011,34011,NC005,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
34011,34011,WD005,Onshore wind,Wind,0,100,5,10,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34011,34011,SL005,Solar,Solar,0.97,50,10,133,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34041,34041,CS006,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34041,34041,CC006,Natural gas CC,Natural gas,0.02,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34041,34041,CT006,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
34041,34041,GT006,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34041,34041,NC006,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
34041,34041,WD006,Onshore wind,Wind,0,100,2,2,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34041,34041,SL006,Solar,Solar,1.26,50,10,113,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
